Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean,provinsi
PT Lensung Technology Indonesia,Software Engineer (Back-end Engineer),Other,Jakarta Barat,10000000,"['golang', 'java', 'linux', 'mysql', 'networking', 'postgresql', 'spring boot']",Tidak Disebutkan,full time,DKI Jakarta
"PT. BFI FINANCE INDONESIA, Tbk",Senior Fullstack Engineer,Fullstack Engineer,Tangerang District,,"['agile', 'angular', 'golang', 'javascript', 'react', 'redis', 'ui/ux', 'vue']",Tidak Disebutkan,full time,Banten
Virtual Staff Indonesia,Xero Developer,Other,Jakarta Raya,,"['.net', 'c', 'c#', 'git', 'javascript', 'node.js', 'php', 'python']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT TemanCEO Indonesia,Business Software Analyst,Business / System Analyst,Jakarta Barat,,['sql'],S1,full time,DKI Jakarta
"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",IT Security Specialist,Security / Cybersecurity,Jakarta Utara,,[],S1,full time,DKI Jakarta
PT GRESTENAN RAMADHANI,Tester Automation,QA / Tester,Jakarta Raya,,"['c', 'c#', 'java', 'sql']",Diploma,full time,DKI Jakarta
HITHINK TECHNOLOGY INDONESIA,Software Engineer (Japanese Speaking),Other,Jakarta Selatan,12500000,"['.net', 'big data', 'c', 'excel', 'java', 'jira', 'linux', 'sql', 'tcp/ip']",S1,full time,DKI Jakarta
PT Sahassa Panca Manunggal,Intermediate Full-stack Developer,Other,Jakarta Raya(Hibrid),,"['.net', 'css', 'git', 'html', 'javascript', 'jira', 'sql', 'typescript', 'vue']",S1,full time,DKI Jakarta
"PT. Metrodata Electronics, Tbk",Database Administrator,Data / AI,Jakarta Raya,,"['azure', 'mysql', 'oracle', 'sql']",S1,full time,DKI Jakarta
Halo Robotics,Product Manager - Enterprise Drone Solutions,Product / Project / Scrum,Jakarta Selatan,,['go'],S1,full time,DKI Jakarta
PT Trust Recruit Indonesia,Business Analyst - Smart Machinery & IoT Solutions (Riau),Business / System Analyst,Jakarta Raya,,['iot'],S1,full time,DKI Jakarta
PT ZTE Indonesia,Core Network Site Engineer,Network / Infra / SysAdmin,Jakarta Raya,,['linux'],S1,full time,DKI Jakarta
Alpha Code Technologies,Senior DevSecOps Engineer,Other,Jakarta Selatan,,"['aws', 'azure', 'cybersecurity', 'linux', 'python']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Intersolusi Teknologi Asia,Cloud Operations Engineer,DevOps / Cloud / SRE,Bandung,8400000,"['azure', 'linux', 'networking']",Tidak Disebutkan,full time,Jawa Barat
PT Trinusa Travelindo,Software Engineer - RPA,Other,Jakarta Raya,,"['agile', 'aws', 'big data', 'git', 'javascript', 'postgresql', 'python', 'terraform']",S1,full time,DKI Jakarta
PT Fusion Dinamika,Junior Technical Support,Support / Helpdesk / IT Ops,Jakarta Barat,5500000,['linux'],S1,full time,DKI Jakarta
PT.Global Papua Abadi,BI & Data Management Officer,Data / AI,Jakarta Pusat,,"['power bi', 'sql', 'tableau']",S1,full time,DKI Jakarta
PT Infracom Technology,Solution Architect (Pre-Sales),Sales / Presales / Solution,Jakarta Pusat,,['networking'],S1,full time,DKI Jakarta
PT Printcom Solusi,PRESALES ENGINEER (SURVEILLANCE & NETWORK),Network / Infra / SysAdmin,Jakarta Raya,6000000,['networking'],Diploma,kontrak/temporer,DKI Jakarta
