Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean
PT Lensung Technology Indonesia,Software Engineer (Back-end Engineer),Other,Jakarta Barat,10000000.0,"['golang', 'java', 'linux', 'mysql', 'networking', 'postgresql', 'spring boot']",Tidak Disebutkan,full time
PT KWD Purified Color Board,MANDOR PABRIK (PERSONALIA),Other,Tangerang,5500000.0,[],Diploma,full time
"PT. BFI FINANCE INDONESIA, Tbk",Senior Fullstack Engineer,Fullstack Engineer,Tangerang District,,"['agile', 'angular', 'golang', 'javascript', 'react', 'redis', 'ui/ux', 'vue']",Tidak Disebutkan,full time
Virtual Staff Indonesia,Xero Developer,Other,Jakarta Raya,,"['.net', 'c', 'c#', 'git', 'javascript', 'node.js', 'php', 'python']",Tidak Disebutkan,kontrak/temporer
PT TemanCEO Indonesia,Business Software Analyst,Business / System Analyst,Jakarta Barat,,['sql'],S1,full time
"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",IT Security Specialist,Security / Cybersecurity,Jakarta Utara,,[],S1,full time
PT GRESTENAN RAMADHANI,Tester Automation,QA / Tester,Jakarta Raya,,"['c', 'c#', 'java', 'sql']",Diploma,full time
PT Cita Mineral Investindo Tbk,Supervisor IT Infrastructure,Network / Infra / SysAdmin,Jakarta Raya,,[],S1,kontrak/temporer
HITHINK TECHNOLOGY INDONESIA,Software Engineer (Japanese Speaking),Other,Jakarta Selatan,12500000.0,"['.net', 'big data', 'c', 'excel', 'java', 'jira', 'linux', 'sql', 'tcp/ip']",S1,full time
PT Sahassa Panca Manunggal,Intermediate Full-stack Developer,Other,Jakarta Raya(Hibrid),,"['.net', 'css', 'git', 'html', 'javascript', 'jira', 'sql', 'typescript', 'vue']",S1,full time
"PT. Metrodata Electronics, Tbk",Database Administrator,Data / AI,Jakarta Raya,,"['azure', 'mysql', 'oracle', 'sql']",S1,full time
Halo Robotics,Product Manager - Enterprise Drone Solutions,Product / Project / Scrum,Jakarta Selatan,,['go'],S1,full time
PT Trust Recruit Indonesia,Business Analyst - Smart Machinery & IoT Solutions (Riau),Business / System Analyst,Jakarta Raya,,['iot'],S1,full time
PT ZTE Indonesia,Core Network Site Engineer,Network / Infra / SysAdmin,Jakarta Raya,,['linux'],S1,full time
Alpha Code Technologies,Senior DevSecOps Engineer,Other,Jakarta Selatan,,"['aws', 'azure', 'cybersecurity', 'linux', 'python']",Tidak Disebutkan,kontrak/temporer
PT Intersolusi Teknologi Asia,Cloud Operations Engineer,DevOps / Cloud / SRE,Bandung,8400000.0,"['azure', 'linux', 'networking']",Tidak Disebutkan,full time
PT Trinusa Travelindo,Software Engineer - RPA,Other,Jakarta Raya,,"['agile', 'aws', 'big data', 'git', 'javascript', 'postgresql', 'python', 'terraform']",S1,full time
PT Fusion Dinamika,Junior Technical Support,Support / Helpdesk / IT Ops,Jakarta Barat,5500000.0,['linux'],S1,full time
PT.Global Papua Abadi,BI & Data Management Officer,Data / AI,Jakarta Pusat,,"['power bi', 'sql', 'tableau']",S1,full time
PT Infracom Technology,Solution Architect (Pre-Sales),Sales / Presales / Solution,Jakarta Pusat,,['networking'],S1,full time
PT Printcom Solusi,PRESALES ENGINEER (SURVEILLANCE & NETWORK),Network / Infra / SysAdmin,Jakarta Raya,6000000.0,['networking'],Diploma,kontrak/temporer
PT. Jfood Group Indonesia,IT Support Specialist (Mandarin Speaker),Support / Helpdesk / IT Ops,Jakarta Utara,15000000.0,[],Tidak Disebutkan,full time
Pengiklan Anonim,Digital Development Manager,Other,Jakarta Pusat,,"['agile', 'css', 'html', 'javascript', 'jira', 'scrum']",S1,kontrak/temporer
PT GLOBAL LOYALTY INDONESIA,System Analyst,Business / System Analyst,Tangerang,,['sql'],Tidak Disebutkan,kontrak/temporer
PT. Gree Electric Appliances Indonesia,IT Product Specialist Mandarin,Other,Jakarta Utara,,"['agile', 'scrum', 'sql']",Tidak Disebutkan,full time
PT Pasifik Global Integrasi,Governance Risk and Compliance IT Security,Security / Cybersecurity,Jakarta Selatan,,['cybersecurity'],Diploma,full time
PT MARI KERJA BERSAMA,Project Manager (S-POS IMPLEMENTATION & COMMERCIAL GROWTH),Product / Project / Scrum,Jakarta Barat,,[],Tidak Disebutkan,kasual
PT Ako Media Asia,Head of Cyber Security,Security / Cybersecurity,Jakarta Barat,,"['aws', 'azure', 'cybersecurity', 'google cloud', 'penetration testing']",S1,kontrak/temporer
PT Indocyber Global Teknologi,Business Analyst (Insurance),Business / System Analyst,Jakarta Raya,,[],S1,full time
PT Bank SBI Indonesia,Cyber Security Officer,Security / Cybersecurity,Jakarta Pusat,,['penetration testing'],S1,full time
PT Phincon,QA Automation Engineer,QA / Tester,Bandung,10500000.0,"['agile', 'mysql']",Tidak Disebutkan,full time
PT Hotel Murah Travelindo,Software Engineer,Other,Jakarta Raya,8500000.0,"['agile', 'angular', 'go', 'git', 'javascript', 'laravel', 'php', 'react', 'scrum', 'sql', 'vue']",Tidak Disebutkan,full time
PT Sarwa Manggalla Raya,DATA ANALYST SUPERVISOR,Data / AI,Jakarta Utara,,"['mysql', 'power bi', 'python']",S1,full time
PT ZTE Indonesia,DRA&STP Technical Engineer,Other,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Pangan Lestari,IT Digital Transformation Manager,Other,Surabaya,,['cybersecurity'],S1,full time
COINUT PTE LTD,QA Automation Engineer,QA / Tester,Jakarta Raya(Jarak jauh),11500000.0,"['java', 'javascript', 'python']",Tidak Disebutkan,full time
PT SAS Kreasindo Utama,Business Analyst ERP STAFF ( Odoo Fungtional),Business / System Analyst,Tegal,,['sql'],Diploma,full time
PT SYSTEX ASIA INDONESIA,Network Engineer,Network / Infra / SysAdmin,Jakarta Selatan,,"['networking', 'tcp/ip']",S1,full time
PT Intergastra Nusantara,IT Staff,Support / Helpdesk / IT Ops,Jakarta Raya,,['excel'],Diploma,full time
PT Nusantara Compnet Integrator,Onsite Engineer CCNP - Project Based,Other,Jakarta Raya,,"['networking', 'tcp/ip']",S1,kontrak/temporer
PT Erela,IT Document Administrator (Semarang),Other,Semarang,,[],S1,full time
PT. Adatama Teknologi Indonesia,Systems Backend Engineer (Rust) – Real-Time Financial Systems,Backend Engineer,South Tangerang,25000000.0,"['aws', 'docker']",Tidak Disebutkan,full time
PT Nawa Data Solutions,Java Developer,Backend Engineer,Jakarta Selatan,,"['agile', 'java']",S1,kontrak/temporer
PT Xumei Food Tech Indonesia,Microsoft Dynamics (Power Platform) Developer,ERP / SAP / Odoo / Dynamics,Jakarta Barat,,['javascript'],S1,full time
PT Holink Solusi Digital,PRODUCT MANAGER,Product / Project / Scrum,Jakarta Utara,21500000.0,"['excel', 'jira', 'sql', 'tableau']",S1,full time
IDS Medical Systems Group,Strategic Business Analyst  战略业务分析师,Business / System Analyst,Jakarta Barat,,['excel'],S1,full time
PT Harrisma Informatika Jaya,"Presales / Technical Consultant Video Wall / Tron, IFP, Smart & Signage Display",Sales / Presales / Solution,Jakarta Barat,12500000.0,['go'],Tidak Disebutkan,full time
PT Chandra Asri Pacific Tbk,Wastewater Treatment Operation Engineer,Other,Cilegon,,[],S1,full time
PT BANGUNPERKASA  ADHITAMASENTRA,Product Owner (B2B),Product / Project / Scrum,Jakarta Barat,,"['agile', 'jira', 'scrum', 'ui/ux']",Diploma,full time
PT Perangkat Lunak Indonesia,Java (Spring Boot) Developer,Backend Engineer,Jakarta Utara,8000000.0,"['angular', 'css', 'html', 'java', 'javascript', 'react', 'spring boot', 'sql', 'vue']",Tidak Disebutkan,kontrak/temporer
PT Trust Recruit Indonesia,Customer Solutions Engineer,Other,Jakarta Raya,,"['iot', 'linux', 'networking']",Diploma,full time
Halo Robotics,System Administrator (SysAdmin),Network / Infra / SysAdmin,Jakarta Selatan,15000000.0,"['docker', 'linux', 'networking', 'tcp/ip']",S1,full time
"PT SMART,Tbk",Senior AI Engineer,Data / AI,Jakarta Raya,,"['deep learning', 'machine learning', 'python']",S1,full time
Terra Link Technologies,IT Security and Infrastructure (Must Korean Speaker),Security / Cybersecurity,Jakarta Selatan,12500000.0,"['aws', 'azure', 'linux']",Tidak Disebutkan,full time
PT Cygnet Pericon,IT Consultant,Sales / Presales / Solution,Jakarta Selatan,,['sql'],Diploma,full time
AVANADE ASIA PTE LTD,AI Engineer,Data / AI,Jakarta Pusat,,"['aws', 'azure', 'deep learning', 'docker', 'git', 'kubernetes', 'machine learning', 'power bi', 'python', 'pytorch', 'tensorflow']",Tidak Disebutkan,full time
Coding Bee Academy,Part-Time IT,Other,Jakarta Raya(Hibrid),,"['css', 'html', 'laravel', 'ui/ux']",Tidak Disebutkan,paruh waktu
PT ICP Cipta Prima,Backend Developer,Backend Engineer,Sleman,7000000.0,"['git', 'laravel', 'linux', 'mysql', 'php', 'sql']",Tidak Disebutkan,kontrak/temporer
PT. Amalura Multi Dimensi,ETL Developer (Onsite Yogya),Data / AI,Sleman,10500000.0,"['aws', 'azure', 'oracle', 'postgresql', 'python', 'sql']",S1,kontrak/temporer
PT SYSTEX ASIA INDONESIA,Sales Manager - IT Solutions,Sales / Presales / Solution,Jakarta Raya,,[],Tidak Disebutkan,full time
Inovasi Solusi Internasional,Junior Programmer,Other,Jakarta Pusat,,"['css', 'git', 'html', 'javascript']",Tidak Disebutkan,full time
PT Blue Ocean Heart,Assistant Manager (Mandarin Speaker),Other,Surabaya,8000000.0,['excel'],S1,kontrak/temporer
PT. Solusi Jasa Teknologi,IT Service Desk,Support / Helpdesk / IT Ops,Bogor,,"['excel', 'networking', 'tcp/ip']",S1,full time
PT Trinusa Travelindo,Software Backend Engineer,Backend Engineer,Jakarta Raya,,"['go', 'java', 'python']",S1,full time
ZAP Clinic (PT. Zulu Alpha Papa),Project Assistant,Other,Jakarta Raya,,"['go', 'oracle']",S1,kontrak/temporer
PT Ciptakom Media Nusa,Laravel Fullstack Developer,Backend Engineer,Jakarta Barat,7500000.0,"['css', 'git', 'html', 'javascript', 'laravel', 'php', 'sql']",Diploma,full time
PT TEKNOLOGI ANGKASA MAKMUR ABADI,IT Support Network,Network / Infra / SysAdmin,Jakarta Raya,6750000.0,['linux'],Tidak Disebutkan,full time
PT Artha Solutions Indonesia,Tier 2 Support Engineer (Korean Speaker),Support / Helpdesk / IT Ops,Jakarta Raya,,"['cybersecurity', 'linux']",Tidak Disebutkan,full time
PT Sinergi Wahana Gemilang,Sales IT,Sales / Presales / Solution,Jakarta Raya,,[],Tidak Disebutkan,full time
PT. Wide Technologies Indonesia,Senior System Engineer (Banking Background),Other,Jakarta Selatan,,"['aws', 'azure', 'linux', 'networking']",S1,full time
Pengiklan Anonim,FULLSTACK DEVELOPER (PHP|LARAVEL),Backend Engineer,Kabupaten Malang,,"['agile', 'aws', 'git', 'javascript', 'laravel', 'mysql', 'php', 'react', 'scrum', 'ui/ux', 'vue']",Tidak Disebutkan,full time
PT Mandjur Sehat Abadi,JUNIOR IT SUPPORT,Support / Helpdesk / IT Ops,Jakarta Pusat,,['linux'],S1,full time
Next TI,AI Solution Engineer,Data / AI,Jakarta Selatan,,"['aws', 'java', 'node.js', 'python']",Tidak Disebutkan,full time
PT Revo Solusindo,AI Applied Engineer  — Backend & GenAI Systems,Backend Engineer,Jakarta Raya,,"['docker', 'mongodb', 'python', 'react', 'redis']",S1,kontrak/temporer
PT Sahassa Panca Manunggal,IT Sales Executive,Sales / Presales / Solution,Jakarta Selatan,,[],Tidak Disebutkan,full time
PT Media Wave Interaktif,Quality Assurance,QA / Tester,Jakarta Selatan,,[],Tidak Disebutkan,kontrak/temporer
